Name,ROUGE1_Generated_Text1,ROUGE1_Generated_Text2,ROUGE1_Generated_Text3
Ben Shneiderman,0.306930693,0.346368715,0.17218543
Fabian Beck,0.336283186,0.309392265,0.333333333
Mary Jean Harrold,0.304,0.285714286,0.16
Stephan Diehl,0.377777778,0.443181818,0.314049587
Daniel Weiskopf,0.131386861,0.185714286,0.119402985
Michael Burch,0.276923077,0.106382979,0.307692308
James A. Jones,0.311377246,0.375586854,0.368421053
Catherine Plaisant,0.181818182,0.213740458,0.223529412
Benjamin B. Bederson,0.446700508,0.272189349,0.241666667
Stuart K. Card,0.506329114,0.426035503,0.339393939
Achim Ebert,0.341880342,0.597222222,0.20952381
Mary C. Whitton,0.362416107,0.413793103,0.388888889
Henry Fuchs,0.113821138,0.318681319,0.405940594
Dieter Schmalstieg,0.438095238,0.274509804,0.183206107
Anna Celler,0.368,0.326530612,0.209677419
Ghassan Hamarneh,0.149659864,0.25,0.293333333
Xenophon Papademetris,0.413793103,0.325925926,0.15037594
Penny Rheingans,0.333333333,0.163522013,0.315151515
Marie desJardins,0.344827586,0.191304348,0.319444444
Carla E. Brodley,0.435294118,0.346820809,0.4
