Name,BLEU_1,BLEU_2,BLEU_3
Ben Shneiderman,0.1048,0.1123,0.0070
Fabian Beck,0.0745,0.0675,0.0238
Mary Jean Harrold,0.0650,0.0211,0.0586
Stephan Diehl,0.0976,0.0813,0.1895
Daniel Weiskopf,0.1012,0.0499,0.0000
Michael Burch,0.0854,0.1428,0.1395
James A. Jones,0.0721,0.0982,0.1304
Catherine Plaisant,0.1755,0.0814,0.0457
Benjamin B. Bederson,0.1048,0.1065,0.0257
Stuart K. Card,0.2039,0.1534,0.0020
Achim Ebert,0.1036,0.0355,0.1490
Mary C. Whitton,0.1131,0.0843,0.0485
Henry Fuchs,0.1587,0.0753,0.1373
Dieter Schmalstieg,0.0068,0.0173,0.0473
Anna Celler,0.0818,0.1917,0.1068
Ghassan Hamarneh,0.1279,0.1001,0.0639
Xenophon Papademetris,0.0334,0.0821,0.0461
Penny Rheingans,0.1051,0.1458,0.0069
Marie desJardins,0.1465,0.1144,0.1023
Carla E. Brodley,0.2118,0.1548,0.1213
