Name,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Ben Shneiderman,Text1,0.169642857,0.495652174,0.192982456,0.27826087,965,0.9685304,0.1048
Ben Shneiderman,Text2,0.202531646,0.487603306,0.225,0.338842975,602,0.976721,0.1123
Ben Shneiderman,Text3,0.15,0.294478528,0.149068323,0.220858896,669,0.905334,0.007
Fabian Beck,Text1,0.174863388,0.542553191,0.204301075,0.329787234,610,0.97723144,0.0745
Fabian Beck,Text2,0.134228188,0.513157895,0.16,0.302631579,614,0.9438051,0.0675
Fabian Beck,Text3,0.09,0.378640777,0.098039216,0.213592233,387,0.9545248,0.0238
Mary Jean Harrold,Text1,0.113636364,0.417582418,0.144444444,0.241758242,585,0.95735663,0.065
Mary Jean Harrold,Text2,0.069364162,0.413793103,0.069767442,0.195402299,642,0.9544995,0.0211
Mary Jean Harrold,Text3,0.091428571,0.460674157,0.113636364,0.258426966,543,0.9700183,0.0586
Stephan Diehl,Text1,0.154639175,0.459183673,0.175257732,0.306122449,608,0.97177225,0.0976
Stephan Diehl,Text2,0.155251142,0.524444444,0.188340807,0.293333333,655,0.9761047,0.0813
Stephan Diehl,Text3,0.234636872,0.586956522,0.263736264,0.369565217,851,0.9822151,0.1895
Daniel Weiskopf,Text1,0.146938776,0.536,0.185483871,0.288,863,0.9702118,0.1012
Daniel Weiskopf,Text2,0.114537445,0.448275862,0.130434783,0.25,803,0.95820314,0.0499
Daniel Weiskopf,Text3,0.0,0.086956522,0.0,0.057971014,679,0.7171744,0.0
Michael Burch,Text1,0.178571429,0.48245614,0.212389381,0.289473684,571,0.9688158,0.0854
Michael Burch,Text2,0.209424084,0.515463918,0.229166667,0.309278351,917,0.9682176,0.1428
Michael Burch,Text3,0.202247191,0.582417582,0.255555556,0.373626374,693,0.97877955,0.1395
James A. Jones,Text1,0.103092784,0.37755102,0.113402062,0.255102041,578,0.9518246,0.0721
James A. Jones,Text2,0.171428571,0.522222222,0.179775281,0.3,733,0.96935487,0.0982
James A. Jones,Text3,0.18,0.433497537,0.189054726,0.315270936,610,0.9486254,0.1304
Catherine Plaisant,Text1,0.261306533,0.524271845,0.274509804,0.359223301,771,0.97097874,0.1755
Catherine Plaisant,Text2,0.15,0.448780488,0.147783251,0.263414634,566,0.95623213,0.0814
