Name,ROUGE2_Generated_Text1,ROUGE2_Generated_Text2,ROUGE2_Generated_Text3
Ben Shneiderman,0.021505376,0.02020202,0.027027027
Fabian Beck,0.015037594,0.035087719,0.080808081
Mary Jean Harrold,0.020408163,0.058252427,0.027027027
Stephan Diehl,0.054794521,0.06,0.120481928
Daniel Weiskopf,0,0,0.023255814
Michael Burch,0.074074074,0.086956522,0.041666667
James A. Jones,0.127272727,0.047058824,0.085470085
Catherine Plaisant,0.023809524,0.101694915,0.016949153
Benjamin B. Bederson,0.08,0.064516129,0.054054054
Stuart K. Card,0,0.0625,0.017857143
Achim Ebert,0.024691358,0.036036036,0.018518519
Mary C. Whitton,0.071428571,0.096,0.146788991
Henry Fuchs,0.020408163,0.150943396,0.064516129
Dieter Schmalstieg,0.041666667,0.064516129,0.018181818
Anna Celler,0.04494382,0.030769231,0.021052632
Ghassan Hamarneh,0.018018018,0.059259259,0
Xenophon Papademetris,0.166666667,0.186666667,0.054794521
Penny Rheingans,0.136363636,0.076923077,0.195121951
Marie desJardins,0.071428571,0.107142857,0.212121212
Carla E. Brodley,0.164705882,0.036036036,0.161290323
