Name,ROUGE1_Generated_Text1,ROUGE1_Generated_Text2,ROUGE1_Generated_Text3
Ben Shneiderman,0.147368421,0.178217822,0.236842105
Fabian Beck,0.311111111,0.24137931,0.316831683
Mary Jean Harrold,0.1,0.19047619,0.289473684
Stephan Diehl,0.22972973,0.37254902,0.376470588
Daniel Weiskopf,0.095238095,0.153846154,0.25
Michael Burch,0.218181818,0.281690141,0.244897959
James A. Jones,0.357142857,0.206896552,0.420168067
Catherine Plaisant,0.209302326,0.360655738,0.1
Benjamin B. Bederson,0.25974026,0.273684211,0.157894737
Stuart K. Card,0.134831461,0.242424242,0.157894737
Achim Ebert,0.265060241,0.265486726,0.181818182
Mary C. Whitton,0.255813953,0.267716535,0.396396396
Henry Fuchs,0.16,0.436363636,0.210526316
Dieter Schmalstieg,0.36,0.3125,0.142857143
Anna Celler,0.241758242,0.149253731,0.18556701
Ghassan Hamarneh,0.283185841,0.262773723,0.195488722
Xenophon Papademetris,0.378378378,0.311688312,0.32
Penny Rheingans,0.355555556,0.245283019,0.428571429
Marie desJardins,0.24137931,0.275862069,0.411764706
Carla E. Brodley,0.32183908,0.194690265,0.46875
